partner_id,partner_name,partner_domain,partner_tier,partner_start_date
leagueapps,LeagueApps,leagueapps.com,Tier 1,2024-01-01
teamsnap,TeamSnap,teamsnap.com,Tier 2,2024-01-01
sprocket,Sprocket,sprocket.com,Tier 2,2024-01-01
amilia,Amilia,amilia.com,Tier 3,2024-01-01
otto_demosphere,Demosphere,ottosport.ai,Tier 2,2024-01-01
playershealth,PlayersHealth,playershealth.com,Tier 2,2024-01-01
jackrabbit,JackRabbit,jackrabbit.com,Tier 3,2024-01-01
civicplus,CivicPlus,civicplus.com,Tier 1,2024-01-01
bondsports,BondSports,,Tier 3,2024-01-01
ma_rpa,MA RPA,,Tier 3,2024-01-01
topscore,TopScore,,Tier 3,2024-01-01
urpa,URPA,,Tier 3,2024-01-01
usi,USI,,Tier 3,2024-01-01
yardstik,Yardstik,,Tier 3,2024-01-01
jerseywatch,JerseyWatch,,Tier 3,2024-01-01
